Reward,Got Flag
1461.0,False
1458.0,False
1876.0,False
630.0,False
669.0,False
1980.0,False
1031.0,False
2261.0,False
2908.0,False
1098.0,False
2269.0,False
1435.0,False
1609.0,False
1607.0,False
696.0,False
1993.0,False
1858.0,False
1828.0,False
1863.0,False
1985.0,False
1468.0,False
1609.0,False
2577.0,False
1266.0,False
2381.0,False
1453.0,False
1057.0,False
1059.0,False
1812.0,False
2584.0,False
702.0,False
1466.0,False
1447.0,False
1409.0,False
2708.0,False
1932.0,False
1860.0,False
1840.0,False
1021.0,False
1746.0,False
645.0,False
1058.0,False
1048.0,False
634.0,False
1587.0,False
1073.0,False
1078.0,False
646.0,False
640.0,False
1063.0,False
1960.0,False
1041.0,False
1443.0,False
1468.0,False
1836.0,False
1042.0,False
2301.0,False
633.0,False
1530.0,False
642.0,False
1462.0,False
1064.0,False
1914.0,False
