Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
385,17249.0,0,0.0059342277,26.64%
386,17181.0,0,0.09800261,26.70%
387,17153.0,0,0.053336397,26.77%
388,16460.0,0,-0.039543632,26.84%
389,17601.0,0,0.23667532,26.91%
390,17280.0,0,0.08744225,26.98%
391,14026.0,0,-0.009368539,27.05%
392,18161.0,0,-0.081140876,27.12%
393,16246.0,0,-0.01097813,27.18%
394,17617.0,0,0.025490552,27.25%
395,17224.0,0,-0.12575419,27.32%
396,18229.0,0,0.19498067,27.39%
397,18434.0,0,-0.018960176,27.46%
398,16351.0,0,-0.058275256,27.53%
399,15842.0,0,0.052032564,27.60%
400,16764.0,0,-0.014314803,27.66%
401,17775.0,0,0.0024066786,27.73%
402,17530.0,0,-0.049473986,27.80%
403,17530.0,0,-0.013884078,27.87%
404,17793.0,0,0.042554572,27.95%
405,18038.0,0,-0.010857389,28.01%
406,18026.0,0,-0.011824388,28.08%
407,17958.0,0,-0.043143213,28.15%
408,16975.0,0,-0.063101776,28.22%
409,18215.0,0,-0.062440846,28.29%
410,16084.0,0,-0.02943802,28.36%
411,16587.0,0,-0.011728871,28.43%
412,16603.0,0,-0.00850329,28.50%
413,18776.0,0,0.06694709,28.56%
414,16818.0,0,-0.0098103555,28.63%
415,19053.0,0,-0.09083305,28.70%
416,19364.0,0,-0.028357996,28.77%
417,19537.0,0,-0.19969408,28.84%
418,17829.0,0,0.013597184,28.91%
419,18332.0,0,0.11587265,28.98%
420,17104.0,0,0.0614627,29.05%
421,18583.0,0,0.13279809,29.11%
422,20004.0,0,-0.009522002,29.18%
423,18412.0,0,-0.038237642,29.25%
424,20382.0,0,0.011051147,29.32%
425,19082.0,0,-0.066402905,29.38%
426,20796.0,0,-0.10921001,29.45%
427,20022.0,0,-0.009411313,29.53%
428,18090.0,0,-0.060175672,29.60%
429,20912.0,0,-0.14547643,29.67%
430,17182.0,0,0.027465679,29.74%
431,18214.0,0,-0.031160984,29.81%
432,16754.0,0,-0.011000285,29.88%
433,18251.0,0,0.0697082,29.95%
434,18327.0,0,0.089716785,30.02%
435,19020.0,0,-0.037725877,30.09%
436,18587.0,0,-0.010923063,30.16%
437,18184.0,0,0.08669478,30.23%
438,19382.0,0,-0.008746023,30.30%
439,18128.0,0,-0.099534445,30.37%
440,17753.0,0,-0.032534953,30.43%
441,16989.0,0,-0.0043473393,30.50%
442,17972.0,0,-0.08988613,30.57%
443,19683.0,0,0.030908614,30.64%
444,17402.0,0,-0.09417392,30.71%
445,18658.0,0,-0.10078821,30.78%
446,18581.0,0,-0.006539618,30.84%
447,18519.0,0,-0.0073100603,30.91%
448,18458.0,0,0.1327354,30.98%
449,17722.0,0,0.029813906,31.05%
450,20702.0,0,-0.12199985,31.12%
451,18280.0,0,-0.1192874,31.19%
452,17672.0,0,-0.041416675,31.26%
453,16957.0,0,-0.011934349,31.33%
454,18259.0,0,-0.0060353163,31.40%
455,18176.0,0,-0.027143456,31.47%
456,17487.0,0,-0.010853589,31.54%
457,18098.0,0,-0.02708318,31.61%
458,19023.0,0,-0.06411943,31.68%
459,15526.0,0,-0.018155778,31.74%
460,16923.0,0,-0.10147274,31.81%
461,18492.0,0,-0.049052123,31.88%
462,21563.0,0,-0.0754808,31.95%
463,18362.0,0,0.008010356,32.02%
464,18080.0,0,-0.008760771,32.09%
465,17630.0,0,0.01868911,32.16%
466,20622.0,0,-0.10470838,32.23%
467,17061.0,0,-0.23627703,32.30%
468,19699.0,0,-0.004659788,32.36%
469,20636.0,0,-0.043837946,32.43%
470,21747.0,0,0.03783924,32.51%
471,19586.0,0,-0.008710052,32.58%
472,17866.0,0,-0.07109455,32.65%
